"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2009"",6.297,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2010"",7.743,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2011"",9.124,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2012"",8.481,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2013"",6.386,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2014"",7.089,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2015"",7.04,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2016"",7.362,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2017"",7.029,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2018"",4.5,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2019"",5.5,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2020"",5.749,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2021"",5.833,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2022"",5.922,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2023"",6.012,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2024"",6.104,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2025"",6.196,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2026"",6.29,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2027"",6.386,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2028"",6.482,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2029"",6.58,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1990"",1.65,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1991"",1.744,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1992"",1.763,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1993"",2.119,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1994"",2.465,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1995"",2.012,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1996"",2.75,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1997"",2.455,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1998"",2.314,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1999"",1.949,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2000"",2.333,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2001"",2.343,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2002"",2.433,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2003"",2.546,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2004"",2.024,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2005"",2.558,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2006"",1.9,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2007"",1.841,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2008"",2.401,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2009"",3.916,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2010"",3.923,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2011"",3.095,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2012"",4,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2013"",4,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2014"",5.248,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2015"",5.367,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2016"",5.485,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2017"",4.995,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2018"",4.9,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2019"",4.9,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2020"",5.089,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2021"",5.164,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2022"",5.238,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2023"",5.313,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2024"",5.39,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2025"",5.469,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2026"",5.549,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2027"",5.63,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2028"",5.712,"
"PRY,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2029"",5.796,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1990"",2.819,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1991"",2.688,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1992"",2.637,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1993"",3.052,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1994"",1.702,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1995"",2.702,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1996"",1.746,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1997"",2.91,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1998"",1.029,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1999"",1.498,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2000"",1.867,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2001"",1.217,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2002"",2.498,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2003"",2.906,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2004"",3.847,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2005"",3.734,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2006"",3.406,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2007"",2.516,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2008"",3.687,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2009"",2.904,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2010"",2.176,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2011"",4.057,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2012"",3.993,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2013"",4.754,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2014"",4.218,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2015"",4.757,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2016"",5.293,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2017"",4.375,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2018"",4.657,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2019"",4.544,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2020"",4.985,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2021"",5.093,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2022"",5.199,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2023"",5.306,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2024"",5.413,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2025"",5.519,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2026"",5.626,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2027"",5.733,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2028"",5.84,"
"RUS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2029"",5.946,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1990"",6.862,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1991"",6.709,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1992"",5.693,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1993"",6.673,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1994"",7.388,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1995"",7.256,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1996"",6.917,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1997"",6.87,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1998"",8.005,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1999"",7.975,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2000"",6.284,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2001"",6.619,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2002"",7.013,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2003"",7.819,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2004"",8.241,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2005"",8.604,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2006"",8.474,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2007"",8.511,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2008"",9.074,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2009"",8.394,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2010"",9.751,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2011"",8.931,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2012"",9.211,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2013"",9.545,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2014"",9.294,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2015"",10.206,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2016"",9.826,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2017"",10.024,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2018"",9.705,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2019"",9.236,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2020"",9.655,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2021"",9.703,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2022"",9.747,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2023"",9.792,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2024"",9.839,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2025"",9.884,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2026"",9.93,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2027"",9.976,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2028"",10.021,"
"CAN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2029"",10.067,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1990"",4.524,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1991"",4.578,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1992"",4.533,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1993"",4.963,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1994"",4.694,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1995"",4.917,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1996"",5.203,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1997"",4.387,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1998"",5.268,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1999"",4.945,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2000"",4.477,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2001"",4.699,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2002"",4.925,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2003"",4.813,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2004"",5.121,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2005"",5.288,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2006"",5.326,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2007"",5.262,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2008"",5.556,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2009"",5.259,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2010"",5.454,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2011"",5.747,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2012"",5.87,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2013"",6.016,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2014"",5.812,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2015"",5.893,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2016"",5.967,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2017"",6.11,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2018"",6.104,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2019"",6.317,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2020"",6.334,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2021"",6.356,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2022"",6.371,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2023"",6.46,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2024"",6.538,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2025"",6.652,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2026"",6.732,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2027"",6.814,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2028"",6.893,"
"CHN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2029"",6.977,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1990"",1.75,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1991"",1.75,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1992"",1.714,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1993"",1.9,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1994"",2,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1995"",1.87,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1996"",1.8,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1997"",1.846,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1998"",1.852,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1999"",2.111,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2000"",2.321,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2001"",2.393,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2002"",2.917,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2003"",3,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2004"",3,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2005"",3,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2006"",1.283,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2007"",4.855,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2008"",5.219,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2009"",5.072,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2010"",5.535,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2011"",6.132,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2012"",7.6,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2013"",7.864,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2014"",6.098,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2015"",6.227,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2016"",6.072,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2017"",6.504,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2018"",7.186,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2019"",7.083,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2020"",7.133,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2021"",7.243,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2022"",7.352,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2023"",7.463,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2024"",7.577,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2025"",7.69,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2026"",7.805,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2027"",7.922,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2028"",8.04,"
"MYS,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2029"",8.16,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1990"",1.994,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1991"",2.052,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1992"",2.345,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1993"",2.44,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1994"",2.226,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1995"",2.288,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1996"",2.239,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1997"",2.384,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1998"",2.343,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1999"",2.472,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2000"",2.462,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2001"",2.578,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2002"",2.711,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2003"",2.753,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2004"",2.818,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2005"",2.928,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2006"",3.001,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2007"",3.206,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2008"",3.324,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2009"",3.237,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2010"",3.26,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2011"",2.906,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2012"",3.187,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2013"",3.194,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2014"",3.296,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2015"",3.478,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2016"",3.718,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2017"",3.789,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2018"",3.815,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2019"",3.518,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2020"",3.77,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2021"",3.782,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2022"",3.79,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2023"",3.798,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2024"",3.809,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2025"",3.816,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2026"",3.825,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2027"",3.834,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2028"",3.841,"
"MEX,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2029"",3.85,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1990"",2.151,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1991"",2.203,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1992"",2.197,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1993"",2.209,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1994"",2.258,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1995"",2.486,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1996"",2.614,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1997"",2.652,"
"IDN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1998"",2.663,"
